title,author,genre,pages,price,publisher
Ashenden of The British Agent,Maugham William S,fiction,160,34.6,Vintage
Zen and The Art of Motorcycle Maintenance,Pirsig Robert,philosophy,172,32.5,Vintage
Great War for Civilization,Fisk Robert,history,197,13.5,HarperCollins
We the Living,Rand Ayn,fiction,178,84.4,Penguin
Artist and the Mathematician,Aczel Amir,science,186,83.4,HighStakes
History of Western Philosophy,Russell Bertrand,philosophy,213,32.5,Routledge
Rationality and Freedom,Sen Amartya,economics,213,83.4,Springer
Clash of Civilizations and Remaking of the World Order,Huntington Samuel,history,228,32.4,SimonAndSchuster
Uncommon Wisdom,Capra, Fritjof,nonfiction,197,83.4,Fontana
One,Bach Richard,nonfiction,172,54.8,Dell
To Sir With Love,Braithwaite,fiction,197,32.9,Penguin
